dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
math_l1_l3,few_shot_cot,phi_4_reasoning,qwen3_30b_a3b,100,0.0,0.15,15,0,13.066666666666666,6.103515625e-05
math_l1_l3,few_shot_cot,phi_4_reasoning,qwen3_8b,100,0.0,0.21,21,0,19.047619047619047,9.5367431640625e-07
math_l1_l3,few_shot_cot,qwen3_30b_a3b,qwen3_8b,100,0.15,0.21,12,6,1.3888888888888888,0.237884521484375
math_l1_l3,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,100,0.3,0.28,13,15,0.03571428571428571,0.8505540192127228
math_l1_l3,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,100,0.3,0.43,16,3,7.578947368421052,0.004425048828125
math_l1_l3,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.3,0.03,1,28,23.310344827586206,1.1175870895385742e-07
math_l1_l3,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,100,0.3,0.0,0,30,28.033333333333335,1.862645149230957e-09
math_l1_l3,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.3,0.02,1,29,24.3,5.774199962615967e-08
math_l1_l3,zero_shot,gemma_4_26b_a4b,qwen3_8b,100,0.3,0.0,0,30,28.033333333333335,1.862645149230957e-09
math_l1_l3,zero_shot,gemma_4_e2b,gemma_4_e4b,100,0.28,0.43,18,3,9.333333333333334,0.0014896392822265625
math_l1_l3,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,100,0.28,0.03,0,25,23.04,5.960464477539063e-08
math_l1_l3,zero_shot,gemma_4_e2b,phi_4_reasoning,100,0.28,0.0,0,28,26.035714285714285,7.450580596923828e-09
math_l1_l3,zero_shot,gemma_4_e2b,qwen3_30b_a3b,100,0.28,0.02,1,27,22.321428571428573,2.1606683731079102e-07
math_l1_l3,zero_shot,gemma_4_e2b,qwen3_8b,100,0.28,0.0,0,28,26.035714285714285,7.450580596923828e-09
